lat,lon,alt,date,D_js,I_js,F_js,D_exe,I_exe,F_exe,D_diff,I_diff,F_diff
-80,-180,0,2020,-75.03984286891027,81.80184480782867,56705.16298880834,NaN,NaN,NaN,NaN,NaN,NaN
-80,-180,0,2022.5,-75.24339568883835,81.75228009577742,56585.69318557119,NaN,NaN,NaN,NaN,NaN,NaN
-80,-180,0,2025,-75.4453767166535,81.70240360930939,56466.28057826588,NaN,NaN,NaN,NaN,NaN,NaN
-80,-180,10,2020,-75.10745295030435,81.80942039311613,56438.64779712676,NaN,NaN,NaN,NaN,NaN,NaN
-80,-180,10,2022.5,-75.31061797170081,81.7600085063415,56319.83652734257,NaN,NaN,NaN,NaN,NaN,NaN
-80,-180,10,2025,-75.51221866299115,81.7102861419063,56201.08184150826,NaN,NaN,NaN,NaN,NaN,NaN
-80,-180,100,2020,-75.71062288162241,81.87614460361482,54114.29927618675,NaN,NaN,NaN,NaN,NaN,NaN
-80,-180,100,2022.5,-75.91040009923074,81.82808619706258,54001.2037690065,NaN,NaN,NaN,NaN,NaN,NaN
-80,-180,100,2025,-76.10867852250236,81.77972863719027,53888.15965648737,NaN,NaN,NaN,NaN,NaN,NaN
-80,-90,0,2020,-151.9000828476255,74.94586422945459,51197.252223335396,NaN,NaN,NaN,NaN,NaN,NaN
-80,-90,0,2022.5,-152.07518972650865,74.93262871517608,51063.11127411059,NaN,NaN,NaN,NaN,NaN,NaN
-80,-90,0,2025,-152.2509147412601,74.91918832412587,50929.00543628253,NaN,NaN,NaN,NaN,NaN,NaN
-80,-90,10,2020,-151.93698579277873,74.95707235287296,50964.38053548158,NaN,NaN,NaN,NaN,NaN,NaN
-80,-90,10,2022.5,-152.11189702198374,74.94395250096746,50831.030655720126,NaN,NaN,NaN,NaN,NaN,NaN
-80,-90,10,2025,-152.28742685192765,74.9306288688973,50697.71556113288,NaN,NaN,NaN,NaN,NaN,NaN
-80,-90,100,2020,-152.26387477038017,75.05580146564333,48931.29743979316,NaN,NaN,NaN,NaN,NaN,NaN
-80,-90,100,2022.5,-152.43705811893267,75.04370598732469,48804.801297218175,NaN,NaN,NaN,NaN,NaN,NaN
-80,-90,100,2025,-152.610864297134,75.0314163229382,48678.33717094532,NaN,NaN,NaN,NaN,NaN,NaN
-80,0,0,2020,145.839342516483,75.83059942787094,50408.622835852795,NaN,NaN,NaN,NaN,NaN,NaN
-80,0,0,2022.5,145.70646581684258,75.82161166027096,50304.72723038148,NaN,NaN,NaN,NaN,NaN,NaN
-80,0,0,2025,145.5732057689746,75.81251314880234,50200.84915748628,NaN,NaN,NaN,NaN,NaN,NaN
-80,0,10,2020,145.82157348860346,75.84590145463011,50185.25517562109,NaN,NaN,NaN,NaN,NaN,NaN
-80,0,10,2022.5,145.68900665554153,75.83705477563582,50081.934048286326,NaN,NaN,NaN,NaN,NaN,NaN
-80,0,10,2025,145.55605555939687,75.82809839216019,49978.63022742368,NaN,NaN,NaN,NaN,NaN,NaN
-80,0,100,2020,145.6659318931942,75.98049885485717,48233.03054388389,NaN,NaN,NaN,NaN,NaN,NaN
-80,0,100,2022.5,145.5361326783264,75.97289456377771,48134.69745031836,NaN,NaN,NaN,NaN,NaN,NaN
-80,0,100,2025,145.40594140704331,75.96518964447877,48036.37977265287,NaN,NaN,NaN,NaN,NaN,NaN
-80,90,0,2020,67.35858153647914,82.10936614386151,56089.12438019266,NaN,NaN,NaN,NaN,NaN,NaN
-80,90,0,2022.5,66.94892266691544,82.10094834017383,56008.118931222474,NaN,NaN,NaN,NaN,NaN,NaN
-80,90,0,2025,66.53896850815957,82.09210657625988,55927.16886931529,NaN,NaN,NaN,NaN,NaN,NaN
-80,90,10,2020,67.35760523189423,82.12484811586006,55829.830000180205,NaN,NaN,NaN,NaN,NaN,NaN
-80,90,10,2022.5,66.9485283948829,82.11651220509322,55749.20512428291,NaN,NaN,NaN,NaN,NaN,NaN
-80,90,10,2025,66.53914999090583,82.10775446635226,55668.63499299919,NaN,NaN,NaN,NaN,NaN,NaN
-80,90,100,2020,67.35174167103986,82.2613431411374,53567.03954980048,NaN,NaN,NaN,NaN,NaN,NaN
-80,90,100,2022.5,66.94790424513879,82.25373411879835,53489.73601723866,NaN,NaN,NaN,NaN,NaN,NaN
-80,90,100,2025,66.54370916182972,82.24572203347003,53412.481798902925,NaN,NaN,NaN,NaN,NaN,NaN
-80,180,0,2020,-75.03984286891026,81.80184480782867,56705.16298880834,NaN,NaN,NaN,NaN,NaN,NaN
-80,180,0,2022.5,-75.24339568883832,81.75228009577742,56585.69318557119,NaN,NaN,NaN,NaN,NaN,NaN
-80,180,0,2025,-75.44537671665347,81.70240360930939,56466.28057826588,NaN,NaN,NaN,NaN,NaN,NaN
-80,180,10,2020,-75.10745295030435,81.80942039311613,56438.64779712675,NaN,NaN,NaN,NaN,NaN,NaN
-80,180,10,2022.5,-75.31061797170078,81.7600085063415,56319.83652734257,NaN,NaN,NaN,NaN,NaN,NaN
-80,180,10,2025,-75.51221866299115,81.7102861419063,56201.08184150826,NaN,NaN,NaN,NaN,NaN,NaN
-80,180,100,2020,-75.71062288162241,81.87614460361483,54114.29927618675,NaN,NaN,NaN,NaN,NaN,NaN
-80,180,100,2022.5,-75.91040009923071,81.82808619706258,54001.2037690065,NaN,NaN,NaN,NaN,NaN,NaN
-80,180,100,2025,-76.10867852250234,81.77972863719027,53888.15965648737,NaN,NaN,NaN,NaN,NaN,NaN
-60,-180,0,2020,-139.57043780915242,77.62467222600603,56755.90875937107,NaN,NaN,NaN,NaN,NaN,NaN
-60,-180,0,2022.5,-139.33471520932858,77.58048982411088,56643.09065709844,NaN,NaN,NaN,NaN,NaN,NaN
-60,-180,0,2025,-139.09971073935003,77.53592765602474,56530.35073850839,NaN,NaN,NaN,NaN,NaN,NaN
-60,-180,10,2020,-139.60198210234933,77.62336865584513,56483.35563458177,NaN,NaN,NaN,NaN,NaN,NaN
-60,-180,10,2022.5,-139.36701463998057,77.5792908547088,56371.12898230401,NaN,NaN,NaN,NaN,NaN,NaN
-60,-180,10,2025,-139.13275933827813,77.53483506288036,56258.97970530177,NaN,NaN,NaN,NaN,NaN,NaN
-60,-180,100,2020,-139.88287387661254,77.6112618540338,54107.35661856716,NaN,NaN,NaN,NaN,NaN,NaN
-60,-180,100,2022.5,-139.6546053810375,77.56810413248978,54000.27256890664,NaN,NaN,NaN,NaN,NaN,NaN
-60,-180,100,2025,-139.42699736950362,77.52458394427255,53893.25902435161,NaN,NaN,NaN,NaN,NaN,NaN
-60,-90,0,2020,-164.48517923641467,62.76787941602688,42958.88411795902,NaN,NaN,NaN,NaN,NaN,NaN
-60,-90,0,2022.5,-164.70327038500477,62.78398336711338,42814.41045604786,NaN,NaN,NaN,NaN,NaN,NaN
-60,-90,0,2025,-164.9230760888078,62.799854880210205,42670.07090023149,NaN,NaN,NaN,NaN,NaN,NaN
-60,-90,10,2020,-164.5126969756996,62.77897130258223,42767.02088985967,NaN,NaN,NaN,NaN,NaN,NaN
-60,-90,10,2022.5,-164.73049100540652,62.79520910764891,42623.45584731549,NaN,NaN,NaN,NaN,NaN,NaN
-60,-90,10,2025,-164.9499966575969,62.81121620633925,42480.02391515577,NaN,NaN,NaN,NaN,NaN,NaN
-60,-90,100,2020,-164.75503604071605,62.87633437520229,41090.74188204124,NaN,NaN,NaN,NaN,NaN,NaN
-60,-90,100,2022.5,-164.9701996782079,62.89374479438015,40955.0359482248,NaN,NaN,NaN,NaN,NaN,NaN
-60,-90,100,2025,-165.18704902704653,62.910939532888506,40819.45459760586,NaN,NaN,NaN,NaN,NaN,NaN
-60,0,0,2020,159.08665595309157,69.55505515431193,42000.549155480505,NaN,NaN,NaN,NaN,NaN,NaN
-60,0,0,2022.5,159.20262207861288,69.52375355328695,41894.72768671872,NaN,NaN,NaN,NaN,NaN,NaN
-60,0,0,2025,159.31883360529503,69.49221617053041,41788.93986281957,NaN,NaN,NaN,NaN,NaN,NaN
-60,0,10,2020,159.0830579346711,69.5606995823128,41826.53425786418,NaN,NaN,NaN,NaN,NaN,NaN
-60,0,10,2022.5,159.19881878434649,69.529740180056,41721.38976365774,NaN,NaN,NaN,NaN,NaN,NaN
-60,0,10,2025,159.31482688821725,69.49854737613347,41616.27841695924,NaN,NaN,NaN,NaN,NaN,NaN
-60,0,100,2020,159.05379888558193,69.61016120201047,40301.13243558484,NaN,NaN,NaN,NaN,NaN,NaN
-60,0,100,2022.5,159.1678012391067,69.58217945231102,40201.8341676875,NaN,NaN,NaN,NaN,NaN,NaN
